,C-KC443457,C-KC443202,C-KC178781,C-KC443633,C-KC443325,C-KC443765,C-MH170019,C-LC514516,C-LC514505,C-LC514494,C-PX212613,C-KJ721711,C-KU248407,C-KU248396,C-KU199272,C-MW715608,C-MG670699,C-MG670701,C-MG670696,C-LC105582,C-MN479423,C-PP861741,C-OP850468,C-PP861731,B-KC443369,B-KC443224,B-KJ639025,B-KJ639014,B-PX212549,B-OP850475,B-OP850472,B-OP850473,B-OP850470,B-OP850474,B-LC514472,B-LC514483,B-MZ546117,B-KX880419,B-KU550278,B-KU550275,B-KU550277,B-PX212551,B-LC541987,B-LC228328,B-LC228317,B-LC260268,B-MH704723,B-MH704722,B-LC469461,B-LC260266,B-KX880430,B-MH569755,B-LC325465,B-MF997037,B-LC228306,B-LC260272,B-MH569760,B-KU550276,B-KU550274,B-KU870387,B-KU870409,B-MT732500,B-LC386067,B-MT723919,B-MT410497,B-LC066641,B-LC066663,B-LC066652,B-LC169964,B-LC169953,B-LC169942,B-AB975754,B-AB975753,B-AB975725,B-AB975723,B-AB848009,B-LC751490,B-LC751460,B-KY616887,B-MG599526,B-MG599525,B-KU059790,B-MG670685,B-MG670702,B-MG670698,B-KU059779,B-KU059768,B-MG670694,B-LC086727,B-LC086716,A-KU356576,A-MG181889,A-MG181768,A-LC105571,A-KJ752163,A-HQ657140,A-KC443009,A-HQ641357,A-KF716382,A-KF716380,A-KC442965,A-KC442976,A-KC178786,A-KC443347,A-MG181658,A-KR705203,A-KJ721708,A-PX212611,A-OP717289,A-OP717286,A-LC569217,A-LC228372,A-LC228339,A-LC569172,A-LC569200,A-LC477510,A-LC228350,A-KC834705,A-PX212648,A-KJ919519,A-KC443358,A-MN479346,A-MN479342,A-MN479334,A-MN479333,A-MN479287,A-KJ721717,A-KJ721713,A-PX212628,A-LC086804,A-LC086738,A-LC086793,A-LC086782,A-KJ919584,A-PP861743,A-PP861797,A-OP850469,A-KF716374,A-LC169986,A-LC169975
B-LC228317,87.78,87.74,87.47,87.66,87.66,87.66,87.39,87.35,87.35,87.35,87.37,87.43,87.15,87.15,87.31,87.19,87.03,87.07,87.19,87.43,87.15,87.31,87.31,87.31,98.24,98.12,98.52,98.64,98.66,98.52,98.52,98.56,98.56,98.60,98.56,98.72,98.76,98.80,98.92,98.92,98.88,98.88,99.88,99.96,,99.04,99.00,99.04,99.40,99.24,99.24,99.00,99.12,99.08,99.08,99.20,99.28,99.16,99.16,98.96,99.08,98.72,98.72,98.68,98.76,99.12,99.08,99.12,99.00,99.04,99.04,99.02,99.03,99.07,99.08,99.08,98.92,98.92,98.92,99.16,99.20,98.92,98.96,98.96,99.00,99.00,99.04,99.08,99.08,99.08,93.97,95.89,95.81,96.13,96.05,96.01,95.89,95.97,95.97,95.93,95.97,96.09,96.17,96.05,95.93,96.45,96.17,96.97,97.29,97.21,97.01,97.17,97.09,97.13,97.13,97.13,97.13,97.68,97.66,97.72,97.68,97.45,97.41,97.45,97.45,97.45,97.60,97.45,96.77,97.09,96.97,97.21,97.05,97.17,96.61,96.65,96.73,97.09,97.17,97.13
B-LC260268,87.94,87.90,87.62,87.82,87.82,87.82,87.66,87.62,87.62,87.62,87.56,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.70,87.43,87.58,87.58,87.58,98.32,98.20,98.60,98.72,98.70,98.56,98.56,98.60,98.60,98.64,98.64,98.80,98.84,98.88,99.00,99.00,98.96,98.96,99.00,99.08,99.04,,99.08,99.12,99.64,99.48,99.48,99.08,99.20,99.16,99.16,99.20,99.36,99.24,99.24,99.12,99.24,98.80,98.80,98.76,98.84,99.20,99.16,99.20,99.08,99.12,99.12,99.06,99.07,99.11,99.12,99.12,98.96,98.96,98.96,99.24,99.28,99.00,99.04,99.04,99.08,99.08,99.12,99.16,99.16,99.16,94.21,96.05,95.97,96.21,96.13,96.01,96.13,96.13,96.13,96.09,96.21,96.33,96.25,96.13,96.01,96.45,96.17,97.13,97.37,97.29,97.09,97.17,97.17,97.21,97.21,97.21,97.21,97.76,97.74,97.80,97.76,97.45,97.41,97.45,97.45,97.45,97.68,97.52,96.85,97.17,97.05,97.29,97.13,97.25,96.53,96.57,96.65,97.17,97.09,97.05
B-MH704723,87.78,87.74,87.47,87.66,87.66,87.66,87.47,87.43,87.43,87.43,87.45,87.43,87.23,87.23,87.39,87.35,87.19,87.23,87.35,87.50,87.23,87.39,87.39,87.39,98.44,98.32,98.68,98.80,99.14,99.00,99.00,99.04,99.04,99.08,99.08,99.24,99.20,99.24,99.36,99.36,99.32,99.24,98.96,99.04,99.00,99.08,,99.40,99.44,99.28,99.28,99.36,99.56,99.36,99.52,99.48,99.56,99.52,99.52,99.32,99.44,98.84,98.84,98.72,98.80,99.24,99.20,99.24,99.04,99.08,99.08,99.02,99.03,99.07,99.08,99.08,98.92,98.92,98.92,99.20,99.24,98.96,99.00,99.00,99.04,99.04,99.08,99.12,99.12,99.12,94.17,96.01,95.93,96.33,96.25,95.97,96.01,96.17,96.09,96.05,96.09,96.21,96.21,96.17,96.05,96.41,96.13,97.01,97.33,97.25,97.05,97.13,97.13,97.17,97.17,97.17,97.17,97.72,97.70,97.76,97.72,97.41,97.37,97.41,97.41,97.41,97.64,97.49,96.81,97.13,97.01,97.25,97.09,97.21,96.61,96.61,96.69,97.05,97.05,97.09
B-MH704722,87.82,87.78,87.50,87.70,87.70,87.70,87.47,87.35,87.35,87.35,87.45,87.43,87.15,87.15,87.31,87.19,87.03,87.07,87.19,87.43,87.15,87.31,87.31,87.31,98.48,98.36,98.60,98.72,99.10,98.96,98.96,99.00,99.00,99.04,99.04,99.20,99.24,99.28,99.40,99.40,99.36,99.36,99.00,99.08,99.04,99.12,99.40,,99.48,99.32,99.32,99.48,99.52,99.48,99.72,99.60,99.68,99.64,99.64,99.44,99.56,98.80,98.80,98.76,98.84,99.28,99.24,99.28,99.08,99.12,99.12,99.06,99.07,99.11,99.12,99.12,98.96,98.96,98.96,99.24,99.28,99.00,99.04,99.04,99.08,99.08,99.12,99.16,99.16,99.16,94.13,95.97,95.89,96.21,96.13,96.01,95.97,96.05,96.05,96.01,96.05,96.17,96.17,96.13,96.09,96.53,96.25,97.05,97.45,97.37,97.09,97.17,97.17,97.21,97.21,97.21,97.21,97.76,97.74,97.80,97.76,97.60,97.56,97.60,97.60,97.60,97.76,97.60,96.85,97.17,97.05,97.29,97.13,97.25,96.53,96.57,96.65,97.09,97.09,97.05
B-LC469461,87.98,87.94,87.66,87.86,87.86,87.86,87.70,87.66,87.66,87.66,87.68,87.66,87.47,87.47,87.62,87.50,87.35,87.39,87.50,87.74,87.47,87.62,87.62,87.62,98.68,98.56,98.96,99.08,99.06,98.92,98.92,98.96,98.96,99.00,99.00,99.16,99.20,99.24,99.36,99.36,99.32,99.32,99.36,99.44,99.40,99.64,99.44,99.48,,99.84,99.84,99.44,99.56,99.44,99.52,99.56,99.72,99.60,99.60,99.48,99.60,99.16,99.16,99.12,99.20,99.56,99.52,99.56,99.44,99.48,99.48,99.43,99.44,99.47,99.48,99.48,99.32,99.32,99.32,99.60,99.64,99.36,99.40,99.40,99.44,99.44,99.48,99.52,99.52,99.52,94.41,96.41,96.33,96.57,96.49,96.37,96.41,96.41,96.41,96.37,96.41,96.53,96.53,96.49,96.37,96.81,96.53,97.41,97.72,97.64,97.45,97.52,97.52,97.56,97.56,97.56,97.56,98.12,98.10,98.16,98.12,97.80,97.76,97.80,97.80,97.80,98.04,97.88,97.21,97.52,97.41,97.64,97.49,97.60,96.89,96.93,97.01,97.45,97.45,97.41
B-LC260266,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.58,87.58,87.58,87.60,87.58,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.52,98.40,98.80,98.92,98.90,98.76,98.76,98.80,98.80,98.84,98.84,99.00,99.04,99.08,99.20,99.20,99.16,99.16,99.20,99.28,99.24,99.48,99.28,99.32,99.84,,100.00,99.28,99.40,99.28,99.36,99.40,99.56,99.44,99.44,99.32,99.44,99.08,99.08,98.96,99.04,99.40,99.36,99.40,99.28,99.32,99.32,99.27,99.27,99.31,99.32,99.32,99.16,99.16,99.16,99.44,99.48,99.20,99.24,99.24,99.28,99.28,99.32,99.36,99.36,99.36,94.25,96.33,96.25,96.49,96.41,96.29,96.25,96.25,96.25,96.21,96.25,96.37,96.37,96.41,96.21,96.65,96.37,97.33,97.64,97.56,97.37,97.45,97.45,97.49,97.49,97.49,97.49,97.96,97.94,98.00,97.96,97.64,97.60,97.64,97.64,97.64,97.88,97.72,97.13,97.37,97.25,97.49,97.33,97.45,96.73,96.77,96.85,97.29,97.29,97.25
B-KX880430,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.58,87.58,87.58,87.60,87.58,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.52,98.40,98.80,98.92,98.90,98.76,98.76,98.80,98.80,98.84,98.84,99.00,99.04,99.08,99.20,99.20,99.16,99.16,99.20,99.28,99.24,99.48,99.28,99.32,99.84,100.00,,99.28,99.40,99.28,99.36,99.40,99.56,99.44,99.44,99.32,99.44,99.08,99.08,98.96,99.04,99.40,99.36,99.40,99.28,99.32,99.32,99.27,99.27,99.31,99.32,99.32,99.16,99.16,99.16,99.44,99.48,99.20,99.24,99.24,99.28,99.28,99.32,99.36,99.36,99.36,94.25,96.33,96.25,96.49,96.41,96.29,96.25,96.25,96.25,96.21,96.25,96.37,96.37,96.41,96.21,96.65,96.37,97.33,97.64,97.56,97.37,97.45,97.45,97.49,97.49,97.49,97.49,97.96,97.94,98.00,97.96,97.64,97.60,97.64,97.64,97.64,97.88,97.72,97.13,97.37,97.25,97.49,97.33,97.45,96.73,96.77,96.85,97.29,97.29,97.25
B-MH569755,87.82,87.78,87.50,87.70,87.70,87.70,87.31,87.27,87.27,87.27,87.33,87.31,87.07,87.07,87.23,87.11,86.95,86.99,87.11,87.35,87.15,87.31,87.31,87.31,98.36,98.24,98.56,98.68,99.06,99.00,99.00,99.04,99.04,99.08,99.00,99.16,99.20,99.24,99.36,99.36,99.32,99.32,98.96,99.04,99.00,99.08,99.36,99.48,99.44,99.28,99.28,,99.56,99.44,99.52,99.56,99.64,99.60,99.60,99.40,99.52,98.76,98.76,98.72,98.80,99.24,99.20,99.24,99.04,99.08,99.08,99.02,99.03,99.07,99.08,99.08,98.92,98.92,98.92,99.20,99.24,98.96,99.00,99.00,99.04,99.04,99.08,99.12,99.12,99.12,94.01,96.01,95.93,96.25,96.17,96.05,96.01,96.01,96.09,96.05,96.09,96.21,96.21,96.25,96.21,96.49,96.21,97.09,97.49,97.41,97.13,97.21,97.21,97.25,97.25,97.25,97.25,97.80,97.78,97.84,97.80,97.49,97.45,97.49,97.49,97.49,97.72,97.56,96.89,97.21,97.09,97.33,97.17,97.29,96.57,96.61,96.69,97.13,97.13,97.09
B-LC325465,87.82,87.78,87.50,87.70,87.70,87.70,87.43,87.39,87.39,87.39,87.45,87.43,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.48,98.36,98.68,98.80,99.10,98.96,98.96,99.00,99.00,99.04,99.04,99.20,99.24,99.28,99.40,99.40,99.36,99.36,99.08,99.16,99.12,99.20,99.56,99.52,99.56,99.40,99.40,99.56,,99.48,99.56,99.60,99.68,99.64,99.64,99.44,99.56,98.88,98.88,98.84,98.92,99.36,99.32,99.36,99.16,99.20,99.20,99.15,99.15,99.19,99.20,99.20,99.04,99.04,99.04,99.32,99.36,99.08,99.12,99.12,99.16,99.16,99.20,99.24,99.24,99.24,94.17,96.05,95.97,96.29,96.21,96.09,96.05,96.13,96.13,96.09,96.13,96.25,96.25,96.21,96.25,96.61,96.33,97.13,97.45,97.37,97.17,97.25,97.25,97.29,97.29,97.29,97.29,97.84,97.82,97.88,97.84,97.52,97.49,97.52,97.52,97.52,97.76,97.60,96.93,97.25,97.13,97.37,97.21,97.33,96.61,96.65,96.73,97.17,97.17,97.13
B-MF997037,87.78,87.74,87.47,87.66,87.66,87.66,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.36,98.24,98.56,98.68,99.06,99.00,99.00,99.04,99.04,99.08,99.00,99.16,99.20,99.24,99.36,99.36,99.32,99.32,99.04,99.12,99.08,99.16,99.36,99.48,99.44,99.28,99.28,99.44,99.48,,99.52,99.72,99.64,99.68,99.68,99.48,99.60,98.76,98.76,98.72,98.80,99.24,99.20,99.24,99.04,99.08,99.08,99.02,99.03,99.07,99.08,99.08,98.92,98.92,98.92,99.20,99.24,98.96,99.00,99.00,99.04,99.04,99.08,99.12,99.12,99.12,94.01,96.01,95.97,96.25,96.17,96.05,95.93,96.01,96.01,95.97,96.09,96.13,96.13,96.09,96.05,96.41,96.13,97.01,97.41,97.33,97.05,97.13,97.13,97.17,97.17,97.17,97.17,97.72,97.70,97.76,97.72,97.41,97.37,97.41,97.41,97.41,97.64,97.49,96.81,97.13,97.01,97.25,97.09,97.21,96.49,96.53,96.61,97.13,97.05,97.01
B-LC228306,87.86,87.82,87.54,87.74,87.74,87.74,87.50,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.44,98.32,98.64,98.76,99.22,99.08,99.08,99.12,99.12,99.16,99.16,99.32,99.28,99.32,99.44,99.44,99.40,99.40,99.04,99.12,99.08,99.16,99.52,99.72,99.52,99.36,99.36,99.52,99.56,99.52,,99.64,99.72,99.68,99.68,99.48,99.60,98.84,98.84,98.80,98.88,99.32,99.28,99.32,99.12,99.16,99.16,99.10,99.11,99.15,99.16,99.16,99.00,99.00,99.00,99.28,99.32,99.04,99.08,99.08,99.12,99.12,99.16,99.20,99.20,99.20,94.09,96.01,95.93,96.25,96.17,96.13,96.01,96.09,96.09,96.05,96.09,96.21,96.21,96.33,96.13,96.49,96.21,97.09,97.49,97.41,97.13,97.21,97.21,97.25,97.25,97.25,97.25,97.80,97.78,97.84,97.80,97.56,97.52,97.56,97.56,97.56,97.72,97.56,96.89,97.21,97.09,97.33,97.17,97.29,96.57,96.61,96.69,97.13,97.13,97.09
B-LC260272,87.82,87.78,87.50,87.70,87.70,87.70,87.47,87.43,87.43,87.43,87.45,87.43,87.23,87.23,87.39,87.27,87.11,87.15,87.27,87.50,87.23,87.39,87.39,87.39,98.48,98.36,98.68,98.80,99.18,99.04,99.04,99.08,99.08,99.12,99.12,99.28,99.32,99.36,99.48,99.48,99.44,99.44,99.16,99.24,99.20,99.20,99.48,99.60,99.56,99.40,99.40,99.56,99.60,99.72,99.64,,99.76,99.80,99.80,99.60,99.72,98.88,98.88,98.84,98.92,99.36,99.32,99.36,99.16,99.20,99.20,99.15,99.15,99.19,99.20,99.20,99.04,99.04,99.04,99.40,99.44,99.08,99.12,99.12,99.16,99.16,99.20,99.24,99.24,99.24,94.21,96.13,96.09,96.37,96.29,96.25,96.13,96.21,96.21,96.17,96.21,96.33,96.33,96.29,96.25,96.61,96.33,97.21,97.60,97.52,97.25,97.33,97.33,97.37,97.37,97.37,97.37,97.92,97.90,97.96,97.92,97.60,97.56,97.60,97.60,97.60,97.84,97.68,97.01,97.33,97.21,97.45,97.29,97.41,96.69,96.73,96.81,97.25,97.25,97.21
B-MH569760,87.82,87.78,87.50,87.70,87.70,87.70,87.62,87.58,87.58,87.58,87.52,87.50,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.64,98.52,98.84,98.96,99.26,99.12,99.20,99.16,99.16,99.20,99.20,99.36,99.40,99.44,99.56,99.56,99.52,99.52,99.24,99.32,99.28,99.36,99.56,99.68,99.72,99.56,99.56,99.64,99.68,99.64,99.72,99.76,,99.80,99.80,99.60,99.72,99.04,99.04,99.00,99.08,99.52,99.48,99.52,99.32,99.36,99.36,99.31,99.31,99.35,99.36,99.36,99.20,99.20,99.20,99.48,99.52,99.24,99.28,99.28,99.32,99.32,99.36,99.40,99.40,99.40,94.37,96.21,96.13,96.45,96.37,96.25,96.21,96.29,96.29,96.25,96.29,96.41,96.41,96.37,96.25,96.69,96.49,97.29,97.68,97.60,97.33,97.41,97.41,97.45,97.45,97.45,97.45,98.00,97.98,98.04,98.00,97.68,97.64,97.68,97.68,97.68,97.92,97.76,97.09,97.41,97.29,97.52,97.37,97.49,96.77,96.81,96.89,97.33,97.41,97.37
B-KU550276,87.78,87.74,87.47,87.66,87.66,87.66,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.52,98.40,98.72,98.84,99.22,99.08,99.08,99.12,99.12,99.16,99.16,99.32,99.36,99.40,99.52,99.52,99.48,99.48,99.12,99.20,99.16,99.24,99.52,99.64,99.60,99.44,99.44,99.60,99.64,99.68,99.68,99.80,99.80,,100.00,99.72,99.84,98.92,98.92,98.88,98.96,99.40,99.36,99.40,99.20,99.24,99.24,99.19,99.19,99.23,99.24,99.24,99.08,99.08,99.08,99.36,99.40,99.12,99.16,99.24,99.28,99.20,99.24,99.28,99.28,99.28,94.17,96.09,96.05,96.33,96.25,96.13,96.09,96.17,96.17,96.13,96.17,96.29,96.29,96.25,96.21,96.57,96.29,97.17,97.56,97.49,97.21,97.29,97.29,97.33,97.33,97.33,97.33,97.88,97.86,97.92,97.88,97.56,97.52,97.56,97.56,97.56,97.80,97.64,96.97,97.29,97.17,97.41,97.25,97.37,96.65,96.69,96.77,97.21,97.21,97.17
B-KU550274,87.78,87.74,87.47,87.66,87.66,87.66,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.52,98.40,98.72,98.84,99.22,99.08,99.08,99.12,99.12,99.16,99.16,99.32,99.36,99.40,99.52,99.52,99.48,99.48,99.12,99.20,99.16,99.24,99.52,99.64,99.60,99.44,99.44,99.60,99.64,99.68,99.68,99.80,99.80,100.00,,99.72,99.84,98.92,98.92,98.88,98.96,99.40,99.36,99.40,99.20,99.24,99.24,99.19,99.19,99.23,99.24,99.24,99.08,99.08,99.08,99.36,99.40,99.12,99.16,99.24,99.28,99.20,99.24,99.28,99.28,99.28,94.17,96.09,96.05,96.33,96.25,96.13,96.09,96.17,96.17,96.13,96.17,96.29,96.29,96.25,96.21,96.57,96.29,97.17,97.56,97.49,97.21,97.29,97.29,97.33,97.33,97.33,97.33,97.88,97.86,97.92,97.88,97.56,97.52,97.56,97.56,97.56,97.80,97.64,96.97,97.29,97.17,97.41,97.25,97.37,96.65,96.69,96.77,97.21,97.21,97.17
B-KU870387,87.74,87.70,87.43,87.62,87.62,87.62,87.39,87.35,87.35,87.35,87.29,87.27,87.07,87.07,87.23,87.11,86.95,86.99,87.11,87.35,87.07,87.23,87.23,87.23,98.32,98.20,98.52,98.64,99.10,98.96,98.96,99.00,99.00,99.04,99.04,99.20,99.24,99.28,99.40,99.40,99.36,99.28,98.92,99.00,98.96,99.12,99.32,99.44,99.48,99.32,99.32,99.40,99.44,99.48,99.48,99.60,99.60,99.72,99.72,,99.88,98.72,98.72,98.68,98.76,99.20,99.16,99.20,99.00,99.04,99.04,98.98,98.99,99.03,99.04,99.04,98.88,98.88,98.88,99.16,99.20,98.92,98.96,98.96,99.00,99.00,99.04,99.08,99.08,99.08,93.97,95.97,95.93,96.13,96.05,95.93,95.97,95.97,95.97,95.93,95.97,96.09,96.09,96.05,96.01,96.37,96.09,96.97,97.37,97.29,97.01,97.09,97.09,97.13,97.13,97.13,97.13,97.68,97.66,97.72,97.68,97.37,97.33,97.37,97.37,97.37,97.60,97.45,96.77,97.17,96.97,97.21,97.05,97.17,96.45,96.49,96.57,97.01,97.01,96.97
B-KU870409,87.78,87.74,87.47,87.66,87.66,87.66,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.44,98.32,98.64,98.76,99.14,99.00,99.00,99.04,99.04,99.08,99.08,99.24,99.28,99.32,99.44,99.44,99.40,99.40,99.04,99.12,99.08,99.24,99.44,99.56,99.60,99.44,99.44,99.52,99.56,99.60,99.60,99.72,99.72,99.84,99.84,99.88,,98.84,98.84,98.80,98.88,99.32,99.28,99.32,99.12,99.16,99.16,99.10,99.11,99.15,99.16,99.16,99.00,99.00,99.00,99.28,99.32,99.04,99.08,99.08,99.12,99.12,99.16,99.20,99.20,99.20,94.09,96.09,96.05,96.25,96.17,96.05,96.09,96.09,96.09,96.05,96.09,96.21,96.21,96.17,96.13,96.49,96.21,97.09,97.49,97.41,97.13,97.21,97.21,97.25,97.25,97.25,97.25,97.80,97.78,97.84,97.80,97.49,97.45,97.49,97.49,97.49,97.72,97.56,96.89,97.21,97.09,97.33,97.17,97.29,96.57,96.61,96.69,97.13,97.13,97.09
B-MT732500,87.74,87.70,87.50,87.62,87.62,87.62,87.39,87.35,87.35,87.35,87.29,87.27,87.15,87.15,87.31,87.19,87.03,87.07,87.19,87.43,87.15,87.31,87.31,87.31,98.32,98.20,98.60,98.72,98.46,98.32,98.40,98.36,98.36,98.40,98.40,98.56,98.60,98.64,98.76,98.76,98.72,98.64,98.68,98.76,98.72,98.80,98.84,98.80,99.16,99.08,99.08,98.76,98.88,98.76,98.84,98.88,99.04,98.92,98.92,98.72,98.84,,100.00,99.24,99.32,99.44,99.40,99.44,99.56,99.60,99.60,99.15,99.15,99.19,99.20,99.20,99.04,99.04,99.04,99.32,99.36,99.08,99.12,99.12,99.16,99.16,99.20,99.24,99.24,99.24,94.13,96.05,95.97,96.29,96.21,96.09,96.05,96.13,96.05,96.01,96.05,96.17,96.17,96.21,96.01,96.45,96.17,97.13,97.45,97.37,97.21,97.25,97.25,97.29,97.29,97.29,97.29,97.76,97.74,97.80,97.76,97.45,97.41,97.45,97.45,97.45,97.68,97.52,97.01,97.25,97.13,97.37,97.21,97.33,96.57,96.57,96.65,97.09,97.17,97.13
B-LC386067,87.74,87.70,87.50,87.62,87.62,87.62,87.39,87.35,87.35,87.35,87.29,87.27,87.15,87.15,87.31,87.19,87.03,87.07,87.19,87.43,87.15,87.31,87.31,87.31,98.32,98.20,98.60,98.72,98.46,98.32,98.40,98.36,98.36,98.40,98.40,98.56,98.60,98.64,98.76,98.76,98.72,98.64,98.68,98.76,98.72,98.80,98.84,98.80,99.16,99.08,99.08,98.76,98.88,98.76,98.84,98.88,99.04,98.92,98.92,98.72,98.84,100.00,,99.24,99.32,99.44,99.40,99.44,99.56,99.60,99.60,99.15,99.15,99.19,99.20,99.20,99.04,99.04,99.04,99.32,99.36,99.08,99.12,99.12,99.16,99.16,99.20,99.24,99.24,99.24,94.13,96.05,95.97,96.29,96.21,96.09,96.05,96.13,96.05,96.01,96.05,96.17,96.17,96.21,96.01,96.45,96.17,97.13,97.45,97.37,97.21,97.25,97.25,97.29,97.29,97.29,97.29,97.76,97.74,97.80,97.76,97.45,97.41,97.45,97.45,97.45,97.68,97.52,97.01,97.25,97.13,97.37,97.21,97.33,96.57,96.57,96.65,97.09,97.17,97.13
B-MT723919,87.54,87.50,87.31,87.43,87.43,87.43,87.31,87.27,87.27,87.27,87.21,87.19,87.07,87.07,87.23,87.11,86.95,87.07,87.11,87.35,87.07,87.23,87.23,87.23,98.28,98.16,98.56,98.68,98.34,98.20,98.28,98.24,98.24,98.28,98.28,98.44,98.48,98.52,98.64,98.64,98.60,98.60,98.64,98.72,98.68,98.76,98.72,98.76,99.12,98.96,98.96,98.72,98.84,98.72,98.80,98.84,99.00,98.88,98.88,98.68,98.80,99.24,99.24,,99.68,99.40,99.36,99.40,99.52,99.56,99.56,99.10,99.11,99.15,99.16,99.16,99.00,99.00,99.00,99.28,99.32,99.04,99.16,99.08,99.12,99.12,99.16,99.20,99.20,99.20,93.97,96.01,95.93,96.33,96.25,96.05,96.01,96.09,96.09,96.05,96.17,96.21,96.21,96.17,95.97,96.41,96.21,97.01,97.33,97.25,97.09,97.13,97.13,97.17,97.17,97.17,97.17,97.72,97.70,97.76,97.72,97.41,97.37,97.41,97.41,97.41,97.64,97.49,96.89,97.13,97.01,97.25,97.09,97.21,96.49,96.53,96.61,97.05,97.17,97.13
B-MT410497,87.70,87.66,87.47,87.58,87.58,87.58,87.43,87.39,87.39,87.39,87.33,87.31,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.36,98.24,98.64,98.76,98.42,98.28,98.36,98.32,98.32,98.36,98.36,98.52,98.56,98.60,98.72,98.72,98.68,98.68,98.72,98.80,98.76,98.84,98.80,98.84,99.20,99.04,99.04,98.80,98.92,98.80,98.88,98.92,99.08,98.96,98.96,98.76,98.88,99.32,99.32,99.68,,99.48,99.44,99.48,99.60,99.64,99.64,99.19,99.19,99.23,99.24,99.24,99.08,99.08,99.08,99.36,99.40,99.12,99.16,99.16,99.20,99.20,99.24,99.28,99.28,99.28,94.17,96.09,96.01,96.41,96.33,96.21,96.09,96.33,96.17,96.13,96.17,96.29,96.29,96.25,96.13,96.57,96.29,97.17,97.56,97.41,97.25,97.29,97.29,97.33,97.33,97.33,97.33,97.88,97.94,98.00,97.96,97.56,97.52,97.56,97.56,97.56,97.80,97.64,96.97,97.29,97.17,97.41,97.25,97.37,96.65,96.69,96.77,97.21,97.29,97.25
B-LC066641,87.90,87.86,87.58,87.78,87.78,87.78,87.54,87.50,87.50,87.50,87.52,87.50,87.31,87.31,87.47,87.35,87.19,87.23,87.35,87.58,87.31,87.47,87.47,87.47,98.72,98.60,99.00,99.12,98.86,98.72,98.72,98.76,98.76,98.80,98.80,98.96,99.00,99.04,99.16,99.16,99.12,99.12,99.08,99.16,99.12,99.20,99.24,99.28,99.56,99.40,99.40,99.24,99.36,99.24,99.32,99.36,99.52,99.40,99.40,99.20,99.32,99.44,99.44,99.40,99.48,,99.88,99.92,99.72,99.76,99.76,99.55,99.56,99.59,99.60,99.60,99.44,99.44,99.44,99.72,99.76,99.48,99.52,99.52,99.56,99.56,99.60,99.64,99.64,99.64,94.37,96.37,96.29,96.61,96.53,96.41,96.37,96.45,96.45,96.41,96.45,96.57,96.57,96.53,96.41,96.85,96.57,97.45,97.76,97.68,97.49,97.56,97.56,97.60,97.60,97.60,97.60,98.16,98.14,98.20,98.16,97.84,97.80,97.84,97.84,97.84,98.08,97.92,97.25,97.56,97.45,97.68,97.52,97.64,96.93,96.97,97.05,97.49,97.49,97.45
B-LC066663,87.86,87.82,87.54,87.74,87.74,87.74,87.58,87.54,87.54,87.54,87.56,87.54,87.35,87.35,87.50,87.39,87.23,87.27,87.39,87.62,87.35,87.50,87.50,87.50,98.68,98.56,98.96,99.08,98.82,98.68,98.68,98.72,98.72,98.76,98.76,98.92,98.96,99.00,99.12,99.12,99.08,99.08,99.04,99.12,99.08,99.16,99.20,99.24,99.52,99.36,99.36,99.20,99.32,99.20,99.28,99.32,99.48,99.36,99.36,99.16,99.28,99.40,99.40,99.36,99.44,99.88,,99.96,99.68,99.72,99.72,99.51,99.52,99.55,99.56,99.56,99.40,99.40,99.40,99.68,99.72,99.44,99.48,99.48,99.52,99.52,99.56,99.60,99.60,99.60,94.33,96.33,96.25,96.57,96.49,96.37,96.33,96.41,96.41,96.37,96.41,96.53,96.53,96.49,96.37,96.89,96.61,97.41,97.72,97.64,97.45,97.52,97.52,97.56,97.56,97.56,97.56,98.12,98.10,98.16,98.20,97.80,97.76,97.80,97.80,97.80,98.04,97.88,97.21,97.52,97.41,97.64,97.49,97.60,96.89,96.93,97.01,97.45,97.45,97.41
