,A-MT633431,B-JX195088,B-EF990707,B-JF490651,B-KJ753438,B-KT988208,B-JF490916,B-LC228384,B-KF371984,B-OP850489,B-PP861406,B-OP850491,B-JN706531,B-JQ837878,B-MT732501,B-LC386068,B-MZ066016,B-KJ752983,B-JN258371,B-MT410498,B-JN706530,B-MT723920,B-LC066642,B-LC086761,B-KX362878,B-LC086750,B-LC169965,B-LC169954,B-LC169943,B-LC086739,B-LC066664,B-LC066653,B-PX211305,B-MH704725,B-LC325461,B-LC260222,B-KX880426,B-MG652356,B-MG652352,B-MG652355,B-LC541983,B-LC228329,B-LC228318,B-KU059791,B-KU059769,B-KU059780,B-MG652348,B-MG652339,B-LC086728,B-LC086717,B-PX211226,B-OP850488,B-OP850487,B-OP850486,B-OP850485,B-OP850483,B-LC514495,B-LC514473,B-PX211228,B-MH704724,B-LC228307,B-MF997038,B-MW715609,B-KU550282,B-KU550280,B-KU870388,B-KU870410,B-KX880415,B-MZ546113,B-LC514484,B-KU550284,B-KU550283,B-KU550281,B-MH569766,B-MH569765,B-LC260228,B-MG599530,B-MG599529,B-LC430887,B-AB975550,B-AB975549,B-AB975466,B-AB975472,B-KY616888,B-AB848005,B-LC751042,B-LC751012,B-MG181659,A-EF672598,B-MZ027446,B-MZ027424,A-MG652331,A-KJ919614,A-MG652329,A-JX185761,A-KJ919638,A-LC172601,A-LC172588,A-HM773681,A-HM773670,A-MT633446,A-MT633444,A-JX027953,A-JX027940,A-KP007147,A-KF371691,A-JQ069692,A-JQ069688,A-JX027865,A-PX211314,A-LC430884,A-LC430883,A-OR205278,A-OR205276,A-KJ919698,A-MH171357,A-PX211248,A-OP850492,A-ON791868,A-OR205289,A-MG652342,A-MN478658
B-PX211226,97.20,97.09,97.35,97.30,97.09,97.20,97.35,97.83,97.78,97.14,97.04,97.20,97.93,98.41,97.99,97.93,98.09,98.25,98.51,97.93,98.14,98.04,98.14,98.25,98.25,98.30,98.09,98.04,98.04,98.20,98.30,98.25,98.67,98.41,98.41,98.46,98.46,98.46,98.46,98.51,98.62,98.62,98.57,98.72,98.72,98.67,98.67,98.72,98.72,98.72,,99.46,99.51,99.51,99.51,99.51,99.41,99.35,99.14,98.72,98.78,98.88,98.51,98.72,98.78,98.62,98.67,99.12,99.14,99.20,99.20,99.20,99.20,99.04,98.93,98.41,98.75,98.75,98.72,98.78,98.72,98.83,98.78,98.83,98.83,98.78,98.72,93.98,93.75,96.41,96.35,95.04,95.19,94.83,95.09,94.93,95.88,95.88,96.46,96.46,95.56,95.77,96.09,96.09,95.93,96.09,95.93,95.98,95.77,95.33,95.41,95.30,95.56,95.67,95.93,95.56,95.63,95.30,95.56,95.88,95.51,95.77
B-OP850488,97.22,97.18,97.44,97.31,97.22,97.31,97.44,97.61,97.79,97.05,96.96,97.05,98.09,98.52,98.18,98.13,98.13,98.35,98.61,98.13,98.26,98.09,98.31,98.31,98.31,98.39,98.26,98.22,98.22,98.31,98.39,98.35,98.17,98.61,98.61,98.70,98.70,98.70,98.70,98.74,98.83,98.83,98.78,98.91,98.91,98.87,98.87,98.91,98.91,98.91,99.46,,99.83,99.87,99.87,99.87,99.61,99.52,98.62,98.91,98.91,99.04,98.87,98.96,99.00,98.83,98.91,99.33,99.35,99.35,99.39,99.39,99.39,99.17,99.09,98.61,98.81,98.83,98.87,98.91,98.91,98.91,98.96,99.00,99.00,98.96,98.91,94.70,94.05,96.53,96.48,95.35,95.53,95.22,95.48,95.35,95.96,95.96,96.44,96.44,95.74,95.96,96.22,96.27,96.09,96.22,96.01,96.09,96.07,94.72,95.79,95.70,95.83,95.87,96.09,95.74,95.08,95.61,95.87,96.05,95.79,96.05
B-OP850487,97.26,97.22,97.48,97.35,97.26,97.35,97.48,97.66,97.83,97.09,97.00,97.09,98.13,98.57,98.22,98.18,98.18,98.39,98.65,98.18,98.31,98.13,98.35,98.35,98.35,98.44,98.31,98.26,98.26,98.35,98.44,98.39,98.17,98.65,98.65,98.74,98.74,98.74,98.74,98.78,98.87,98.87,98.83,98.96,98.96,98.91,98.91,98.96,98.96,98.96,99.51,99.83,,99.96,99.96,99.96,99.65,99.57,98.62,98.96,98.96,99.09,98.91,99.00,99.04,98.87,98.96,99.37,99.39,99.39,99.44,99.44,99.44,99.22,99.13,98.65,98.85,98.87,98.91,98.96,98.96,98.96,99.00,99.04,99.04,99.00,98.96,94.75,94.09,96.57,96.53,95.40,95.57,95.27,95.53,95.40,96.01,96.01,96.48,96.48,95.79,96.01,96.27,96.31,96.14,96.27,96.05,96.14,96.11,94.72,95.83,95.74,95.87,95.92,96.14,95.79,95.08,95.66,95.92,96.09,95.83,96.09
B-OP850486,97.31,97.26,97.52,97.39,97.31,97.39,97.52,97.70,97.87,97.13,97.05,97.13,98.18,98.61,98.26,98.22,98.22,98.44,98.70,98.22,98.35,98.18,98.39,98.39,98.39,98.48,98.35,98.31,98.31,98.39,98.48,98.44,98.17,98.70,98.70,98.78,98.78,98.78,98.78,98.83,98.91,98.91,98.87,99.00,99.00,98.96,98.96,99.00,99.00,99.00,99.51,99.87,99.96,,100.00,100.00,99.70,99.61,98.62,99.00,99.00,99.13,98.96,99.04,99.09,98.91,99.00,99.41,99.43,99.44,99.48,99.48,99.48,99.26,99.17,98.70,98.89,98.91,98.96,99.00,99.00,99.00,99.04,99.09,99.09,99.04,99.00,94.79,94.14,96.61,96.57,95.44,95.61,95.31,95.57,95.44,96.05,96.05,96.53,96.53,95.83,96.05,96.31,96.35,96.18,96.31,96.09,96.18,96.16,94.72,95.87,95.79,95.92,95.96,96.18,95.83,95.08,95.70,95.96,96.14,95.87,96.14
B-OP850485,97.31,97.26,97.52,97.39,97.31,97.39,97.52,97.70,97.87,97.13,97.05,97.13,98.18,98.61,98.26,98.22,98.22,98.44,98.70,98.22,98.35,98.18,98.39,98.39,98.39,98.48,98.35,98.31,98.31,98.39,98.48,98.44,98.17,98.70,98.70,98.78,98.78,98.78,98.78,98.83,98.91,98.91,98.87,99.00,99.00,98.96,98.96,99.00,99.00,99.00,99.51,99.87,99.96,100.00,,100.00,99.70,99.61,98.62,99.00,99.00,99.13,98.96,99.04,99.09,98.91,99.00,99.41,99.43,99.44,99.48,99.48,99.48,99.26,99.17,98.70,98.89,98.91,98.96,99.00,99.00,99.00,99.04,99.09,99.09,99.04,99.00,94.79,94.14,96.61,96.57,95.44,95.61,95.31,95.57,95.44,96.05,96.05,96.53,96.53,95.83,96.05,96.31,96.35,96.18,96.31,96.09,96.18,96.16,94.72,95.87,95.79,95.92,95.96,96.18,95.83,95.08,95.70,95.96,96.14,95.87,96.14
B-OP850483,97.31,97.26,97.52,97.39,97.31,97.39,97.52,97.70,97.87,97.13,97.05,97.13,98.18,98.61,98.26,98.22,98.22,98.44,98.70,98.22,98.35,98.18,98.39,98.39,98.39,98.48,98.35,98.31,98.31,98.39,98.48,98.44,98.17,98.70,98.70,98.78,98.78,98.78,98.78,98.83,98.91,98.91,98.87,99.00,99.00,98.96,98.96,99.00,99.00,99.00,99.51,99.87,99.96,100.00,100.00,,99.70,99.61,98.62,99.00,99.00,99.13,98.96,99.04,99.09,98.91,99.00,99.41,99.43,99.44,99.48,99.48,99.48,99.26,99.17,98.70,98.89,98.91,98.96,99.00,99.00,99.00,99.04,99.09,99.09,99.04,99.00,94.79,94.14,96.61,96.57,95.44,95.61,95.31,95.57,95.44,96.05,96.05,96.53,96.53,95.83,96.05,96.31,96.35,96.18,96.31,96.09,96.18,96.16,94.72,95.87,95.79,95.92,95.96,96.18,95.83,95.08,95.70,95.96,96.14,95.87,96.14
B-LC514495,97.44,97.39,97.66,97.52,97.44,97.52,97.66,97.83,98.00,97.26,97.18,97.26,98.31,98.74,98.31,98.26,98.35,98.65,98.83,98.26,98.48,98.31,98.52,98.52,98.52,98.61,98.48,98.44,98.44,98.52,98.61,98.57,98.28,98.83,98.83,98.91,98.91,98.91,98.91,98.96,99.04,99.04,99.00,99.13,99.13,99.09,99.09,99.13,99.13,99.13,99.41,99.61,99.65,99.70,99.70,99.70,,99.74,98.72,99.13,99.13,99.26,99.09,99.17,99.22,99.04,99.13,99.54,99.65,99.57,99.61,99.61,99.61,99.39,99.31,98.83,99.02,99.04,99.09,99.13,99.13,99.13,99.17,99.22,99.22,99.17,99.13,94.92,94.09,96.74,96.70,95.57,95.74,95.44,95.70,95.57,96.18,96.18,96.66,96.66,95.96,96.18,96.35,96.40,96.31,96.44,96.22,96.31,96.20,94.83,96.01,95.92,96.05,96.09,96.31,95.96,95.18,95.83,96.18,96.27,96.01,96.27
B-LC514473,97.44,97.39,97.66,97.52,97.44,97.52,97.66,97.83,98.00,97.26,97.26,97.35,98.31,98.74,98.31,98.26,98.35,98.57,98.83,98.26,98.48,98.31,98.52,98.52,98.52,98.61,98.48,98.44,98.44,98.52,98.61,98.57,98.33,98.83,98.83,98.91,98.91,98.91,98.91,98.96,99.04,99.04,99.00,99.13,99.13,99.09,99.09,99.13,99.13,99.13,99.35,99.52,99.57,99.61,99.61,99.61,99.74,,98.67,99.13,99.13,99.26,99.00,99.17,99.22,99.04,99.13,99.46,99.48,99.48,99.52,99.52,99.52,99.31,99.22,98.83,99.02,99.04,99.09,99.13,99.13,99.13,99.17,99.22,99.22,99.17,99.13,94.83,94.09,96.74,96.70,95.57,95.74,95.44,95.70,95.57,96.18,96.18,96.66,96.66,95.96,96.18,96.35,96.40,96.31,96.44,96.22,96.31,96.20,94.88,96.01,95.92,96.05,96.09,96.31,95.96,95.23,95.83,96.09,96.27,96.01,96.27
B-PX211228,97.10,97.20,97.41,97.36,97.05,97.26,97.41,97.73,97.83,97.20,97.10,97.26,97.94,98.41,97.99,97.94,97.99,98.25,98.51,97.94,98.15,98.04,98.15,98.25,98.25,98.30,98.09,98.04,98.04,98.20,98.30,98.25,98.98,98.41,98.62,98.56,98.56,98.56,98.56,98.62,98.62,98.62,98.56,98.82,98.82,98.77,98.77,98.82,98.82,98.82,99.14,98.62,98.62,98.62,98.62,98.62,98.72,98.67,,98.82,98.88,98.93,98.62,98.82,98.88,98.72,98.77,99.01,99.03,99.09,99.09,99.09,99.09,99.14,99.03,98.41,98.85,98.85,98.82,98.88,98.82,98.93,98.88,98.93,98.93,98.88,98.82,94.02,93.55,96.47,96.42,94.96,95.11,94.75,95.01,94.85,95.69,95.69,96.26,96.26,95.48,95.69,96.00,96.00,95.74,96.00,95.85,95.90,95.69,95.59,95.32,95.22,95.48,95.48,95.85,95.48,95.89,95.22,95.48,95.79,95.43,95.69
B-MH704724,97.70,97.74,98.00,97.87,97.70,97.87,98.00,98.09,98.35,97.52,97.52,97.61,98.65,99.09,98.65,98.61,98.61,98.91,99.17,98.61,98.83,98.65,98.78,98.87,98.87,98.96,98.83,98.78,98.78,98.87,98.96,98.91,98.38,99.17,99.17,99.26,99.26,99.26,99.26,99.31,99.31,99.31,99.26,99.48,99.48,99.44,99.44,99.48,99.48,99.48,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,,99.83,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.09,99.37,99.39,99.44,99.48,99.48,99.48,99.52,99.57,99.57,99.52,99.48,95.14,94.40,97.09,97.05,95.74,95.92,95.61,95.87,95.74,96.35,96.35,96.83,96.83,96.27,96.48,96.61,96.66,96.53,96.70,96.48,96.57,96.46,94.93,96.18,96.09,96.22,96.18,96.57,96.14,95.28,96.01,96.27,96.44,96.18,96.44
B-LC228307,97.70,97.74,98.00,97.87,97.70,97.87,98.00,98.09,98.35,97.52,97.52,97.61,98.65,99.09,98.65,98.61,98.61,98.91,99.17,98.61,98.83,98.65,98.78,98.87,98.87,98.96,98.83,98.78,98.78,98.87,98.96,98.91,98.43,99.09,99.17,99.26,99.26,99.26,99.26,99.31,99.31,99.31,99.26,99.48,99.48,99.44,99.44,99.48,99.48,99.48,98.78,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.88,99.83,,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.09,99.37,99.39,99.44,99.48,99.48,99.48,99.52,99.57,99.57,99.52,99.48,95.14,94.40,97.09,97.05,95.74,95.92,95.61,95.87,95.74,96.35,96.35,96.83,96.83,96.27,96.48,96.61,96.66,96.53,96.70,96.48,96.57,96.46,94.98,96.18,96.09,96.22,96.18,96.57,96.14,95.34,96.01,96.27,96.44,96.18,96.44
B-MF997038,97.61,97.66,97.92,97.79,97.61,97.79,97.92,98.00,98.26,97.44,97.44,97.52,98.57,99.00,98.57,98.52,98.52,98.83,99.09,98.52,98.74,98.57,98.70,98.78,98.78,98.87,98.74,98.70,98.70,98.78,98.87,98.83,98.38,99.09,99.17,99.26,99.26,99.26,99.26,99.31,99.31,99.31,99.26,99.48,99.48,99.44,99.44,99.48,99.48,99.48,98.88,99.04,99.09,99.13,99.13,99.13,99.26,99.26,98.93,99.48,99.48,,99.52,99.70,99.74,99.57,99.65,99.54,99.56,99.57,99.61,99.61,99.61,99.65,99.57,99.09,99.37,99.39,99.44,99.48,99.48,99.48,99.52,99.57,99.57,99.52,99.48,95.14,94.22,97.00,96.96,95.66,95.83,95.53,95.79,95.66,96.27,96.27,96.74,96.74,96.14,96.35,96.53,96.57,96.40,96.61,96.40,96.48,96.37,94.93,96.18,96.09,96.22,96.18,96.48,96.14,95.28,96.01,96.27,96.44,96.18,96.44
B-MW715609,97.52,97.57,97.83,97.70,97.52,97.70,97.83,97.92,98.18,97.35,97.35,97.44,98.48,98.91,98.57,98.52,98.44,98.74,99.00,98.52,98.65,98.48,98.61,98.70,98.70,98.78,98.65,98.61,98.61,98.70,98.78,98.74,98.17,98.96,99.04,99.17,99.17,99.13,99.13,99.17,99.17,99.17,99.13,99.35,99.35,99.31,99.31,99.35,99.35,99.35,98.51,98.87,98.91,98.96,98.96,98.96,99.09,99.00,98.62,99.35,99.35,99.52,,99.74,99.78,99.61,99.70,99.33,99.43,99.35,99.39,99.39,99.39,99.44,99.35,98.96,99.24,99.26,99.31,99.35,99.35,99.35,99.39,99.44,99.44,99.39,99.35,95.05,94.27,97.00,96.96,95.70,95.87,95.57,95.83,95.70,96.18,96.18,96.66,96.66,96.05,96.35,96.61,96.66,96.40,96.61,96.40,96.48,96.46,94.67,96.01,95.92,96.05,96.01,96.40,95.96,95.02,95.83,96.18,96.27,96.01,96.27
B-KU550282,97.66,97.70,97.96,97.83,97.66,97.83,97.96,98.05,98.31,97.48,97.48,97.57,98.61,99.04,98.61,98.57,98.57,98.87,99.13,98.57,98.78,98.61,98.74,98.83,98.83,98.91,98.78,98.74,98.74,98.83,98.91,98.87,98.38,99.13,99.22,99.31,99.31,99.31,99.31,99.35,99.35,99.35,99.31,99.52,99.52,99.48,99.48,99.52,99.52,99.52,98.72,98.96,99.00,99.04,99.04,99.04,99.17,99.17,98.82,99.52,99.52,99.70,99.74,,99.96,99.78,99.87,99.50,99.52,99.52,99.57,99.57,99.57,99.61,99.52,99.13,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.09,94.22,97.05,97.00,95.74,95.92,95.61,95.87,95.74,96.31,96.31,96.79,96.79,96.18,96.40,96.57,96.61,96.44,96.66,96.44,96.53,96.42,94.83,96.14,96.05,96.18,96.14,96.53,96.09,95.18,95.96,96.22,96.40,96.14,96.40
B-KU550280,97.70,97.74,98.00,97.87,97.70,97.87,98.00,98.09,98.35,97.52,97.52,97.61,98.65,99.09,98.65,98.61,98.61,98.91,99.17,98.61,98.83,98.65,98.78,98.87,98.87,98.96,98.83,98.78,98.78,98.87,98.96,98.91,98.43,99.17,99.26,99.35,99.35,99.35,99.35,99.39,99.39,99.39,99.35,99.57,99.57,99.52,99.52,99.57,99.57,99.57,98.78,99.00,99.04,99.09,99.09,99.09,99.22,99.22,98.88,99.57,99.57,99.74,99.78,99.96,,99.83,99.91,99.54,99.56,99.57,99.61,99.61,99.61,99.65,99.57,99.17,99.46,99.48,99.52,99.57,99.57,99.57,99.61,99.65,99.65,99.61,99.57,95.14,94.27,97.09,97.05,95.79,95.96,95.66,95.92,95.79,96.35,96.35,96.83,96.83,96.22,96.44,96.61,96.66,96.48,96.70,96.48,96.57,96.46,94.88,96.18,96.09,96.22,96.18,96.57,96.14,95.23,96.01,96.27,96.44,96.18,96.44
B-KU870388,97.61,97.66,97.92,97.79,97.61,97.79,97.92,98.00,98.26,97.44,97.44,97.52,98.57,99.00,98.48,98.44,98.52,98.83,99.09,98.52,98.74,98.57,98.70,98.78,98.78,98.87,98.74,98.70,98.70,98.78,98.87,98.83,98.22,99.00,99.09,99.17,99.17,99.17,99.17,99.22,99.22,99.22,99.17,99.39,99.39,99.35,99.35,99.39,99.39,99.39,98.62,98.83,98.87,98.91,98.91,98.91,99.04,99.04,98.72,99.39,99.39,99.57,99.61,99.78,99.83,,99.91,99.37,99.39,99.39,99.44,99.44,99.44,99.48,99.39,99.00,99.28,99.35,99.35,99.39,99.39,99.39,99.44,99.48,99.48,99.44,99.39,94.96,94.18,96.92,96.87,95.70,95.87,95.57,95.83,95.70,96.27,96.27,96.74,96.74,96.14,96.35,96.53,96.57,96.40,96.61,96.40,96.48,96.33,94.78,96.09,96.01,96.14,96.09,96.48,96.05,95.13,95.92,96.18,96.35,96.09,96.35
B-KU870410,97.61,97.66,97.92,97.79,97.61,97.79,97.92,98.00,98.26,97.44,97.44,97.52,98.57,99.00,98.57,98.52,98.52,98.83,99.09,98.52,98.74,98.57,98.70,98.78,98.78,98.87,98.74,98.70,98.70,98.78,98.87,98.83,98.33,99.09,99.17,99.26,99.26,99.26,99.26,99.31,99.31,99.31,99.26,99.48,99.48,99.44,99.44,99.48,99.48,99.48,98.67,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.77,99.48,99.48,99.65,99.70,99.87,99.91,99.91,,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.09,99.37,99.39,99.44,99.48,99.48,99.48,99.52,99.57,99.57,99.52,99.48,95.05,94.18,97.00,96.96,95.70,95.87,95.57,95.83,95.70,96.27,96.27,96.74,96.74,96.14,96.35,96.53,96.57,96.40,96.61,96.40,96.48,96.37,94.78,96.09,96.01,96.14,96.09,96.48,96.05,95.13,95.92,96.18,96.35,96.09,96.35
B-KX880415,97.59,97.72,97.89,97.76,97.59,97.76,97.89,98.07,98.24,97.50,97.42,97.50,98.55,98.98,98.55,98.50,98.59,98.81,99.07,98.50,98.72,98.55,98.76,98.76,98.76,98.85,98.72,98.68,98.68,98.76,98.85,98.81,98.35,99.07,99.15,99.24,99.24,99.24,99.24,99.28,99.28,99.28,99.24,99.46,99.46,99.41,99.41,99.46,99.46,99.46,99.12,99.33,99.37,99.41,99.41,99.41,99.54,99.46,99.01,99.46,99.46,99.54,99.33,99.50,99.54,99.37,99.46,,99.89,99.89,99.93,99.93,99.93,99.72,99.63,99.07,99.35,99.37,99.41,99.46,99.46,99.46,99.50,99.54,99.54,99.50,99.46,95.12,94.16,97.07,97.03,95.68,95.85,95.55,95.81,95.68,96.33,96.33,96.81,96.81,96.20,96.42,96.59,96.63,96.46,96.68,96.46,96.55,96.35,94.91,96.16,96.07,96.20,96.24,96.46,96.11,95.26,95.98,96.24,96.42,96.16,96.42
B-MZ546113,97.65,97.65,97.91,97.82,97.60,97.78,97.91,98.04,98.26,97.52,97.43,97.52,98.56,99.00,98.61,98.56,98.56,98.82,99.09,98.56,98.74,98.61,98.82,98.82,98.82,98.91,98.78,98.74,98.74,98.82,98.91,98.87,98.38,99.09,99.17,99.26,99.26,99.26,99.26,99.30,99.30,99.30,99.26,99.48,99.48,99.43,99.43,99.48,99.48,99.48,99.14,99.35,99.39,99.43,99.43,99.43,99.65,99.48,99.03,99.48,99.48,99.56,99.43,99.52,99.56,99.39,99.48,99.89,,99.91,99.96,99.96,99.96,99.78,99.70,99.09,99.41,99.39,99.43,99.48,99.48,99.48,99.52,99.56,99.56,99.52,99.48,95.12,94.12,97.04,96.99,95.64,95.82,95.51,95.78,95.64,96.34,96.34,96.82,96.82,96.17,96.39,96.56,96.56,96.39,96.60,96.39,96.47,96.36,94.93,96.17,96.08,96.21,96.25,96.47,96.12,95.28,95.99,96.34,96.43,96.17,96.43
B-LC514484,97.61,97.66,97.92,97.79,97.61,97.79,97.92,98.00,98.26,97.52,97.44,97.52,98.57,99.00,98.57,98.52,98.52,98.83,99.09,98.52,98.74,98.57,98.78,98.78,98.78,98.87,98.74,98.70,98.70,98.78,98.87,98.83,98.43,99.09,99.17,99.26,99.26,99.26,99.26,99.31,99.31,99.31,99.26,99.48,99.48,99.44,99.44,99.48,99.48,99.48,99.20,99.35,99.39,99.44,99.44,99.44,99.57,99.48,99.09,99.48,99.48,99.57,99.35,99.52,99.57,99.39,99.48,99.89,99.91,,99.96,99.96,99.96,99.74,99.65,99.09,99.37,99.39,99.44,99.48,99.48,99.48,99.52,99.57,99.57,99.52,99.48,95.05,94.14,97.00,96.96,95.66,95.83,95.53,95.79,95.66,96.35,96.35,96.83,96.83,96.14,96.35,96.53,96.57,96.40,96.61,96.40,96.48,96.37,94.98,96.18,96.09,96.22,96.27,96.48,96.14,95.34,96.01,96.27,96.44,96.18,96.44
B-KU550284,97.66,97.70,97.96,97.83,97.66,97.83,97.96,98.05,98.31,97.57,97.48,97.57,98.61,99.04,98.61,98.57,98.57,98.87,99.13,98.57,98.78,98.61,98.83,98.83,98.83,98.91,98.78,98.74,98.74,98.83,98.91,98.87,98.43,99.13,99.22,99.31,99.31,99.31,99.31,99.35,99.35,99.35,99.31,99.52,99.52,99.48,99.48,99.52,99.52,99.52,99.20,99.39,99.44,99.48,99.48,99.48,99.61,99.52,99.09,99.52,99.52,99.61,99.39,99.57,99.61,99.44,99.52,99.93,99.96,99.96,,100.00,100.00,99.78,99.70,99.13,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.09,94.18,97.05,97.00,95.70,95.87,95.57,95.83,95.70,96.40,96.40,96.87,96.87,96.18,96.40,96.57,96.61,96.44,96.66,96.44,96.53,96.42,94.98,96.22,96.14,96.27,96.31,96.53,96.18,95.34,96.05,96.31,96.48,96.22,96.48
B-KU550283,97.66,97.70,97.96,97.83,97.66,97.83,97.96,98.05,98.31,97.57,97.48,97.57,98.61,99.04,98.61,98.57,98.57,98.87,99.13,98.57,98.78,98.61,98.83,98.83,98.83,98.91,98.78,98.74,98.74,98.83,98.91,98.87,98.43,99.13,99.22,99.31,99.31,99.31,99.31,99.35,99.35,99.35,99.31,99.52,99.52,99.48,99.48,99.52,99.52,99.52,99.20,99.39,99.44,99.48,99.48,99.48,99.61,99.52,99.09,99.52,99.52,99.61,99.39,99.57,99.61,99.44,99.52,99.93,99.96,99.96,100.00,,100.00,99.78,99.70,99.13,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.09,94.18,97.05,97.00,95.70,95.87,95.57,95.83,95.70,96.40,96.40,96.87,96.87,96.18,96.40,96.57,96.61,96.44,96.66,96.44,96.53,96.42,94.98,96.22,96.14,96.27,96.31,96.53,96.18,95.34,96.05,96.31,96.48,96.22,96.48
B-KU550281,97.66,97.70,97.96,97.83,97.66,97.83,97.96,98.05,98.31,97.57,97.48,97.57,98.61,99.04,98.61,98.57,98.57,98.87,99.13,98.57,98.78,98.61,98.83,98.83,98.83,98.91,98.78,98.74,98.74,98.83,98.91,98.87,98.43,99.13,99.22,99.31,99.31,99.31,99.31,99.35,99.35,99.35,99.31,99.52,99.52,99.48,99.48,99.52,99.52,99.52,99.20,99.39,99.44,99.48,99.48,99.48,99.61,99.52,99.09,99.52,99.52,99.61,99.39,99.57,99.61,99.44,99.52,99.93,99.96,99.96,100.00,100.00,,99.78,99.70,99.13,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.09,94.18,97.05,97.00,95.70,95.87,95.57,95.83,95.70,96.40,96.40,96.87,96.87,96.18,96.40,96.57,96.61,96.44,96.66,96.44,96.53,96.42,94.98,96.22,96.14,96.27,96.31,96.53,96.18,95.34,96.05,96.31,96.48,96.22,96.48
B-MH569766,97.79,97.74,98.00,97.87,97.70,97.87,98.00,98.09,98.35,97.61,97.52,97.61,98.65,99.09,98.65,98.61,98.61,98.91,99.17,98.61,98.83,98.65,98.78,98.87,98.87,98.96,98.83,98.78,98.78,98.87,98.96,98.91,98.48,99.17,99.26,99.35,99.35,99.35,99.35,99.39,99.39,99.39,99.35,99.57,99.57,99.52,99.52,99.57,99.57,99.57,99.04,99.17,99.22,99.26,99.26,99.26,99.39,99.31,99.14,99.57,99.57,99.65,99.44,99.61,99.65,99.48,99.57,99.72,99.78,99.74,99.78,99.78,99.78,,99.83,99.17,99.54,99.48,99.52,99.57,99.57,99.57,99.61,99.65,99.65,99.61,99.57,95.14,94.22,97.18,97.13,95.74,95.92,95.61,95.87,95.74,96.35,96.35,96.83,96.83,96.31,96.53,96.61,96.66,96.48,96.70,96.48,96.57,96.46,95.04,96.27,96.18,96.31,96.27,96.57,96.22,95.39,96.09,96.35,96.53,96.27,96.53
B-MH569765,97.70,97.66,98.00,97.79,97.61,97.79,97.92,98.00,98.26,97.52,97.44,97.52,98.57,99.00,98.57,98.52,98.52,98.91,99.09,98.52,98.74,98.65,98.70,98.78,98.78,98.87,98.74,98.70,98.70,98.78,98.87,98.83,98.38,99.09,99.17,99.26,99.26,99.26,99.26,99.31,99.31,99.31,99.26,99.48,99.48,99.44,99.44,99.48,99.48,99.48,98.93,99.09,99.13,99.17,99.17,99.17,99.31,99.22,99.03,99.48,99.48,99.57,99.35,99.52,99.57,99.39,99.48,99.63,99.70,99.65,99.70,99.70,99.70,99.83,,99.09,99.46,99.39,99.44,99.48,99.48,99.48,99.52,99.57,99.57,99.52,99.48,95.14,94.14,97.09,97.05,95.74,95.92,95.61,95.87,95.74,96.27,96.27,96.74,96.74,96.40,96.44,96.53,96.57,96.48,96.61,96.40,96.48,96.46,95.04,96.35,96.27,96.31,96.27,96.57,96.22,95.49,96.18,96.44,96.53,96.35,96.61
B-LC260228,97.57,97.70,97.87,97.74,97.74,97.83,97.96,97.96,98.22,97.39,97.39,97.48,98.52,98.87,98.44,98.39,98.48,98.70,98.96,98.39,98.61,98.44,98.57,98.65,98.74,98.74,98.61,98.57,98.57,98.65,98.74,98.70,98.28,99.04,99.04,99.22,99.22,99.13,99.13,99.17,99.26,99.26,99.22,99.35,99.35,99.31,99.31,99.35,99.35,99.35,98.41,98.61,98.65,98.70,98.70,98.70,98.83,98.83,98.41,99.09,99.09,99.09,98.96,99.13,99.17,99.00,99.09,99.07,99.09,99.09,99.13,99.13,99.13,99.17,99.09,,99.24,99.26,99.39,99.35,99.35,99.35,99.39,99.44,99.44,99.39,99.35,95.09,94.27,97.31,97.18,95.61,95.79,95.48,95.74,95.61,96.31,96.31,96.79,96.79,96.27,96.40,96.57,96.61,96.53,96.66,96.44,96.53,96.42,94.93,96.14,96.05,96.40,96.27,96.44,96.09,95.28,95.96,96.31,96.40,96.05,96.40
