,B-LC386074,B-MT732496,B-MT410493,B-MT723915,B-LC169971,B-LC169960,B-LC169949,B-KF716428,B-KF716425,B-PX212177,B-LC514501,B-LC514512,B-PP862071,B-PP862125,B-OP850417,B-LC514523,B-LC086800,B-LC086789,B-LC086745,B-PX212192,B-LC086811,B-KJ919165,B-LC169993,B-LC169982,B-KC442972,B-LC105586,B-MH182464,B-KC442961,B-KU248414,B-KU248403,B-KC443453,B-KC443198,B-KC178750,B-PP862069,B-OP850416,B-PP862059,B-KC443761,B-KC443629,B-KC443321,B-KC178745,B-LC066670,B-LC066659,B-LC066648,B-MG573370,B-MG573369,B-AB848013,B-LC751938,B-LC751908,B-KY616894,B-AB975925,B-AB975954,B-AB975953,B-AB975923,B-OP850423,B-OP850418,B-OP850422,B-OP850421,B-OP850420,B-PX212113,B-LC514479,B-MZ546121,B-LC514490,B-MH704739,B-MF997044,B-LC228335,B-LC228324,B-LC541991,B-KU870416,B-KU870394,B-KU550318,B-KU550316,B-MH520744,B-LC260316,B-LC228313,B-MH704738,B-PX212115,B-MH520742,B-LC325469,B-KX880423,B-KU550320,B-KU550319,B-KU550317,A-KU199279,A-KC443365,A-KC443220,A-KF716431,A-KJ721745,A-MN479978,A-MN479974,A-MN479966,A-MN479965,A-MN479919,A-KJ721749,A-KC834668,A-PX212212,A-KJ919099,A-KC443354,A-HQ657136,A-KC443005,A-KU356583,A-HQ641362,A-KJ721741,A-KC443343,A-KR705199,B-MN480055,B-MW715615,B-MG701196,B-MG701193,A-KJ752159,A-LC260312,A-LC260310,A-KX880434,A-LC086734,A-LC086723,A-KJ639032,A-KJ639021,A-MG701199,A-MG701191,A-MG701195,A-LC469575,A-KU059797,A-KU059786,A-KU059775,A-MG701198,A-MG701182,A-LC105575,A-PX212175,A-LC569412,A-LC228346,A-LC477630,A-LC228379,A-LC228357,A-LC569457,A-LC569440,A-KJ721750,A-OP717989,A-OP717986,A-MG181665,A-MG181896,A-MG181775
B-MG573369,94.52,94.52,93.57,93.95,94.14,94.14,94.14,97.54,97.92,97.92,98.11,98.11,97.92,97.92,98.11,98.11,97.54,97.54,97.54,97.35,97.54,97.54,97.16,97.16,97.73,97.73,97.73,98.30,98.30,98.30,99.05,99.05,98.30,98.68,98.68,98.68,99.05,99.05,99.05,99.24,100.00,100.00,100.00,100.00,,99.62,99.43,99.43,99.43,99.43,99.62,99.62,99.62,98.11,98.11,98.30,98.30,98.30,98.20,98.49,98.86,98.68,98.87,98.67,98.49,98.30,98.49,98.68,98.68,98.87,98.68,98.49,98.68,98.68,98.87,98.96,99.05,99.05,99.24,99.24,99.24,99.24,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.78,92.42,91.12,91.48,91.48,86.77,87.15,87.15,87.15,87.71,87.71,87.33,87.33,87.69,87.69,87.31,87.52,87.52,87.52,87.52,87.50,87.50,87.90,90.06,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
B-AB848013,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.16,97.54,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,97.35,97.35,97.35,97.92,97.92,97.92,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,99.62,99.62,99.62,99.62,99.62,,99.81,99.81,99.81,99.81,100.00,100.00,100.00,97.73,97.73,97.92,97.92,97.92,97.82,98.11,98.48,98.30,98.49,98.30,98.11,97.92,98.11,98.30,98.30,98.49,98.30,98.11,98.30,98.30,98.49,98.58,98.68,98.68,98.87,98.87,98.87,98.87,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.05,91.12,91.48,91.48,86.77,86.77,86.77,86.77,87.33,87.33,86.96,86.96,87.31,87.31,86.93,87.15,87.15,87.15,87.15,87.12,87.12,87.52,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-LC751938,93.95,93.95,93.01,93.38,93.57,93.57,93.57,96.97,97.35,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,97.16,97.16,97.16,97.73,97.73,97.73,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,99.43,99.43,99.43,99.43,99.43,99.81,,100.00,100.00,99.62,99.81,99.81,99.81,97.54,97.54,97.73,97.73,97.73,97.63,97.92,98.30,98.11,98.30,98.11,97.92,97.73,97.92,98.11,98.11,98.30,98.11,97.92,98.11,98.11,98.30,98.39,98.49,98.49,98.68,98.68,98.68,98.68,84.69,88.09,88.28,88.07,87.90,87.88,87.88,87.88,87.88,87.88,87.90,89.22,89.11,89.02,89.22,88.28,88.09,88.47,88.47,88.28,88.66,88.31,91.86,90.93,91.29,91.29,86.58,86.58,86.58,86.58,87.15,87.15,86.77,86.77,87.12,87.12,86.74,86.96,86.96,86.96,86.96,86.93,86.93,87.33,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.79,89.79,89.79,89.98,89.98,89.79
B-LC751908,93.95,93.95,93.01,93.38,93.57,93.57,93.57,96.97,97.35,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,97.16,97.16,97.16,97.73,97.73,97.73,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,99.43,99.43,99.43,99.43,99.43,99.81,100.00,,100.00,99.62,99.81,99.81,99.81,97.54,97.54,97.73,97.73,97.73,97.63,97.92,98.30,98.11,98.30,98.11,97.92,97.73,97.92,98.11,98.11,98.30,98.11,97.92,98.11,98.11,98.30,98.39,98.49,98.49,98.68,98.68,98.68,98.68,84.69,88.09,88.28,88.07,87.90,87.88,87.88,87.88,87.88,87.88,87.90,89.22,89.11,89.02,89.22,88.28,88.09,88.47,88.47,88.28,88.66,88.31,91.86,90.93,91.29,91.29,86.58,86.58,86.58,86.58,87.15,87.15,86.77,86.77,87.12,87.12,86.74,86.96,86.96,86.96,86.96,86.93,86.93,87.33,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.79,89.79,89.79,89.98,89.98,89.79
B-KY616894,93.94,93.94,92.99,93.37,93.56,93.56,93.56,96.97,97.35,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.97,96.97,96.97,96.78,96.97,96.97,96.59,96.59,97.16,97.16,97.16,97.73,97.73,97.73,98.48,98.48,97.73,98.11,98.11,98.11,98.48,98.48,98.48,98.67,99.43,99.43,99.43,99.43,99.43,99.81,100.00,100.00,,99.62,99.81,99.81,99.81,97.54,97.54,97.73,97.73,97.73,97.63,97.92,98.30,98.11,98.30,98.11,97.92,97.73,97.92,98.11,98.11,98.30,98.11,97.92,98.11,98.11,98.30,98.39,98.48,98.48,98.67,98.67,98.67,98.67,84.66,88.07,88.26,88.07,87.88,87.88,87.88,87.88,87.88,87.88,87.88,89.20,89.11,89.02,89.20,88.26,88.07,88.45,88.45,88.26,88.64,88.31,91.86,90.91,91.29,91.29,86.55,86.55,86.55,86.55,87.12,87.12,86.74,86.74,87.12,87.12,86.74,86.93,86.93,86.93,86.93,86.93,86.93,87.31,89.49,89.39,89.39,89.39,89.39,89.20,89.39,89.39,89.77,89.77,89.77,89.96,89.96,89.77
B-AB975925,93.95,93.95,93.01,93.38,93.57,93.57,93.57,96.97,97.35,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,97.16,97.16,97.54,97.73,97.73,97.73,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,99.43,99.43,99.43,99.43,99.43,99.81,99.62,99.62,99.62,,99.81,99.81,99.81,97.54,97.54,97.73,97.73,97.73,97.63,97.92,98.30,98.11,98.30,98.11,97.92,97.73,97.92,98.11,98.11,98.30,98.11,97.92,98.11,98.11,98.30,98.39,98.49,98.49,98.68,98.68,98.68,98.68,84.69,88.09,88.28,88.07,87.90,87.88,87.88,87.88,87.88,87.88,87.90,89.22,89.11,89.02,89.22,88.28,88.09,88.47,88.47,88.28,88.66,88.31,91.86,90.93,91.29,91.29,86.58,86.58,86.58,86.58,87.15,87.15,86.77,86.77,87.12,87.12,86.74,86.96,86.96,86.96,86.96,86.93,86.93,87.33,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.79,89.79,89.79,89.98,89.98,89.79
B-AB975954,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.16,97.54,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,97.35,97.35,97.35,97.92,97.92,97.92,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,99.62,99.62,99.62,99.62,99.62,100.00,99.81,99.81,99.81,99.81,,100.00,100.00,97.73,97.73,97.92,97.92,97.92,97.82,98.11,98.48,98.30,98.49,98.30,98.11,97.92,98.11,98.30,98.30,98.49,98.30,98.11,98.30,98.30,98.49,98.58,98.68,98.68,98.87,98.87,98.87,98.87,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.05,91.12,91.48,91.48,86.77,86.77,86.77,86.77,87.33,87.33,86.96,86.96,87.31,87.31,86.93,87.15,87.15,87.15,87.15,87.12,87.12,87.52,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-AB975953,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.16,97.54,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,97.35,97.35,97.35,97.92,97.92,97.92,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,99.62,99.62,99.62,99.62,99.62,100.00,99.81,99.81,99.81,99.81,100.00,,100.00,97.73,97.73,97.92,97.92,97.92,97.82,98.11,98.48,98.30,98.49,98.30,98.11,97.92,98.11,98.30,98.30,98.49,98.30,98.11,98.30,98.30,98.49,98.58,98.68,98.68,98.87,98.87,98.87,98.87,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.05,91.12,91.48,91.48,86.77,86.77,86.77,86.77,87.33,87.33,86.96,86.96,87.31,87.31,86.93,87.15,87.15,87.15,87.15,87.12,87.12,87.52,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-AB975923,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.16,97.54,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,97.35,97.35,97.35,97.92,97.92,97.92,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,99.62,99.62,99.62,99.62,99.62,100.00,99.81,99.81,99.81,99.81,100.00,100.00,,97.73,97.73,97.92,97.92,97.92,97.82,98.11,98.48,98.30,98.49,98.30,98.11,97.92,98.11,98.30,98.30,98.49,98.30,98.11,98.30,98.30,98.49,98.58,98.68,98.68,98.87,98.87,98.87,98.87,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.05,91.12,91.48,91.48,86.77,86.77,86.77,86.77,87.33,87.33,86.96,86.96,87.31,87.31,86.93,87.15,87.15,87.15,87.15,87.12,87.12,87.52,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-OP850423,93.76,93.76,92.82,93.19,93.38,93.38,93.38,96.78,96.40,97.16,96.98,96.98,96.79,96.79,96.98,96.98,96.41,96.41,96.41,96.21,96.41,96.40,96.03,96.03,96.22,96.60,97.35,97.16,97.54,97.54,97.92,97.92,97.16,97.54,97.54,97.54,97.92,97.92,97.92,98.11,98.11,98.11,98.11,98.11,98.11,97.73,97.54,97.54,97.54,97.54,97.73,97.73,97.73,,99.62,99.81,99.81,99.81,99.34,99.24,99.24,99.43,98.49,98.30,98.11,97.92,98.11,98.30,98.30,98.49,98.30,98.11,98.30,98.30,98.49,98.58,98.68,98.68,98.87,98.87,98.87,98.87,85.07,88.66,88.85,88.64,88.47,88.45,88.45,88.45,88.45,88.45,88.47,89.79,89.68,89.58,89.79,89.04,88.28,88.66,88.66,88.47,88.85,88.31,92.42,91.30,91.67,91.67,86.20,86.96,86.96,86.96,87.52,87.52,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,87.15,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-OP850418,93.76,93.76,92.82,93.19,93.38,93.38,93.38,96.78,96.40,97.16,96.98,96.98,96.79,96.79,96.98,96.98,96.41,96.41,96.41,96.21,96.41,96.40,96.03,96.03,96.22,96.60,97.35,97.16,97.54,97.54,98.30,98.30,97.16,97.54,97.54,97.54,97.92,97.92,97.92,98.11,98.11,98.11,98.11,98.11,98.11,97.73,97.54,97.54,97.54,97.54,97.73,97.73,97.73,99.62,,99.81,99.81,99.81,99.34,99.24,99.24,99.43,98.49,98.30,98.11,97.92,98.11,98.30,98.30,98.49,98.30,98.11,98.30,98.30,98.49,98.58,98.68,98.68,98.87,98.87,98.87,98.87,85.07,88.66,88.85,88.64,88.47,88.45,88.45,88.45,88.45,88.45,88.47,89.79,89.68,89.58,89.79,88.85,88.28,88.66,88.66,88.47,88.85,88.31,92.42,91.12,91.48,91.48,86.39,86.77,86.77,86.77,87.33,87.33,86.96,86.96,87.31,87.31,86.93,87.15,87.15,87.15,87.15,87.12,87.12,87.15,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-OP850422,93.95,93.95,93.01,93.38,93.57,93.57,93.57,96.97,96.59,97.35,97.16,97.16,96.98,96.98,97.16,97.16,96.60,96.60,96.60,96.40,96.60,96.59,96.22,96.22,96.41,96.79,97.54,97.35,97.73,97.73,98.11,98.11,97.35,97.73,97.73,97.73,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.30,97.92,97.73,97.73,97.73,97.73,97.92,97.92,97.92,99.81,99.81,,100.00,100.00,99.53,99.43,99.43,99.62,98.68,98.48,98.30,98.11,98.30,98.49,98.49,98.68,98.49,98.30,98.49,98.49,98.68,98.77,98.87,98.87,99.05,99.05,99.05,99.05,85.26,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.98,89.87,89.77,89.98,89.04,88.47,88.85,88.85,88.66,89.04,88.54,92.61,91.30,91.67,91.67,86.20,86.96,86.96,86.96,87.52,87.52,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,87.33,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.17,90.17,90.17,90.36,90.36,90.17
B-OP850421,93.95,93.95,93.01,93.38,93.57,93.57,93.57,96.97,96.59,97.35,97.16,97.16,96.98,96.98,97.16,97.16,96.60,96.60,96.60,96.40,96.60,96.59,96.22,96.22,96.41,96.79,97.54,97.35,97.73,97.73,98.11,98.11,97.35,97.73,97.73,97.73,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.30,97.92,97.73,97.73,97.73,97.73,97.92,97.92,97.92,99.81,99.81,100.00,,100.00,99.53,99.43,99.43,99.62,98.68,98.48,98.30,98.11,98.30,98.49,98.49,98.68,98.49,98.30,98.49,98.49,98.68,98.77,98.87,98.87,99.05,99.05,99.05,99.05,85.26,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.98,89.87,89.77,89.98,89.04,88.47,88.85,88.85,88.66,89.04,88.54,92.61,91.30,91.67,91.67,86.20,86.96,86.96,86.96,87.52,87.52,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,87.33,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.17,90.17,90.17,90.36,90.36,90.17
B-OP850420,93.95,93.95,93.01,93.38,93.57,93.57,93.57,96.97,96.59,97.35,97.16,97.16,96.98,96.98,97.16,97.16,96.60,96.60,96.60,96.40,96.60,96.59,96.22,96.22,96.41,96.79,97.54,97.35,97.73,97.73,98.11,98.11,97.35,97.73,97.73,97.73,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.30,97.92,97.73,97.73,97.73,97.73,97.92,97.92,97.92,99.81,99.81,100.00,100.00,,99.53,99.43,99.43,99.62,98.68,98.48,98.30,98.11,98.30,98.49,98.49,98.68,98.49,98.30,98.49,98.49,98.68,98.77,98.87,98.87,99.05,99.05,99.05,99.05,85.26,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.98,89.87,89.77,89.98,89.04,88.47,88.85,88.85,88.66,89.04,88.54,92.61,91.30,91.67,91.67,86.20,86.96,86.96,86.96,87.52,87.52,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,87.33,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.17,90.17,90.17,90.36,90.36,90.17
B-PX212113,93.47,93.47,92.52,92.90,93.09,93.09,93.09,96.88,96.50,97.25,97.06,97.06,96.88,96.88,97.06,97.06,96.50,96.50,96.50,96.31,96.50,96.50,96.12,96.12,96.31,96.69,97.44,97.25,97.63,97.63,98.01,98.01,97.25,97.63,97.63,97.63,98.01,98.01,98.01,98.20,98.20,98.20,98.20,98.20,98.20,97.82,97.63,97.63,97.63,97.63,97.82,97.82,97.82,99.34,99.34,99.53,99.53,99.53,,99.34,99.34,99.53,98.58,98.39,98.20,98.01,98.20,98.39,98.39,98.58,98.39,98.20,98.39,98.39,98.58,98.67,98.77,98.77,98.96,98.96,98.96,98.96,84.94,88.35,88.54,88.35,88.16,88.16,88.16,88.16,88.16,88.16,88.16,89.49,89.49,89.30,89.49,88.54,87.97,88.35,88.35,88.16,88.54,88.07,92.14,90.81,91.19,91.19,85.70,86.84,86.84,86.84,87.41,87.41,87.03,87.03,87.41,87.41,87.03,87.22,87.22,87.22,87.22,87.22,87.22,87.03,89.58,89.49,89.49,89.49,89.49,89.30,89.49,89.49,89.68,89.68,89.68,89.87,89.87,89.68
B-LC514479,93.76,93.76,92.82,93.19,93.38,93.38,93.38,97.16,96.78,97.54,97.35,97.35,97.16,97.16,97.35,97.35,96.79,96.79,96.79,96.59,96.79,96.78,96.41,96.41,96.60,96.98,97.73,97.54,97.92,97.92,98.30,98.30,97.54,97.92,97.92,97.92,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.49,98.11,97.92,97.92,97.92,97.92,98.11,98.11,98.11,99.24,99.24,99.43,99.43,99.43,99.34,,99.62,99.81,98.87,98.67,98.49,98.30,98.49,98.68,98.68,98.87,98.68,98.49,98.68,98.68,98.87,98.96,99.05,99.05,99.24,99.24,99.24,99.24,85.63,89.04,89.22,89.02,88.47,88.83,88.83,88.83,88.83,88.83,88.85,90.17,90.06,89.96,90.17,89.22,88.66,89.04,89.04,88.85,89.22,88.78,92.42,91.12,91.48,91.48,86.01,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.15,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-MZ546121,94.13,94.13,93.18,93.56,93.75,93.75,93.75,97.54,97.16,97.92,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.78,96.78,96.97,97.35,98.11,97.92,98.30,98.30,98.67,98.67,97.92,98.30,98.30,98.30,98.67,98.67,98.67,98.86,98.86,98.86,98.86,98.86,98.86,98.48,98.30,98.30,98.30,98.30,98.48,98.48,98.48,99.24,99.24,99.43,99.43,99.43,99.34,99.62,,99.81,99.24,99.05,98.86,98.67,98.86,99.05,99.05,99.24,99.05,98.86,99.05,99.05,99.24,99.34,99.43,99.43,99.62,99.62,99.62,99.62,85.23,88.64,88.83,88.64,88.45,88.45,88.45,88.45,88.45,88.45,88.45,89.77,89.68,89.58,89.77,88.83,88.26,88.64,88.64,88.45,88.83,88.54,92.42,91.10,91.48,91.48,86.36,87.12,87.12,87.12,87.69,87.69,87.31,87.31,87.69,87.69,87.31,87.50,87.50,87.50,87.50,87.50,87.50,87.50,89.68,89.58,89.58,89.58,89.58,89.39,89.58,89.58,89.96,89.96,89.96,90.15,90.15,89.96
B-LC514490,93.95,93.95,93.01,93.38,93.57,93.57,93.57,97.35,96.97,97.73,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,96.79,97.16,97.92,97.73,98.11,98.11,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,98.68,98.68,98.68,98.68,98.68,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,99.43,99.43,99.62,99.62,99.62,99.53,99.81,99.81,,99.05,98.86,98.68,98.49,98.68,98.87,98.87,99.05,98.87,98.68,98.87,98.87,99.05,99.15,99.24,99.24,99.43,99.43,99.43,99.43,85.44,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.98,89.87,89.77,89.98,89.04,88.47,88.85,88.85,88.66,89.04,88.54,92.61,91.30,91.67,91.67,86.20,87.33,87.33,87.33,87.90,87.90,87.52,87.52,87.88,87.88,87.50,87.71,87.71,87.71,87.71,87.69,87.69,87.33,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.17,90.17,90.17,90.36,90.36,90.17
B-MH704739,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.54,97.16,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,96.98,97.35,98.11,97.92,98.30,98.30,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,98.87,98.87,98.87,98.87,98.87,98.49,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.68,98.68,98.68,98.58,98.87,99.24,99.05,,99.81,99.62,99.43,99.62,99.81,99.81,100.00,99.81,98.87,99.05,99.05,99.24,99.34,99.43,99.43,99.62,99.62,99.62,99.62,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.42,91.49,91.86,91.86,86.77,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.90,90.44,90.36,90.36,90.36,90.36,90.17,90.36,90.36,90.74,90.74,90.74,90.93,90.93,90.74
B-MF997044,93.94,93.94,92.99,93.37,93.56,93.56,93.56,97.35,96.97,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.97,96.97,96.97,96.78,96.97,96.97,96.59,96.59,96.78,97.16,97.92,97.73,98.11,98.11,98.48,98.48,97.73,98.11,98.11,98.11,98.48,98.48,98.48,98.67,98.67,98.67,98.67,98.67,98.67,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.48,98.48,98.48,98.39,98.67,99.05,98.86,99.81,,99.43,99.24,99.43,99.62,99.62,99.81,99.62,98.67,98.86,98.86,99.05,99.15,99.24,99.24,99.43,99.43,99.43,99.43,84.66,88.07,88.26,88.07,87.88,87.88,87.88,87.88,87.88,87.88,87.88,89.58,89.49,89.39,89.58,88.26,88.07,88.45,88.45,88.26,88.64,88.31,92.23,91.29,91.67,91.67,86.93,87.69,87.69,87.69,88.26,88.26,87.88,87.88,88.26,88.26,87.88,88.07,88.07,88.07,88.07,88.07,88.07,87.69,90.25,90.15,90.15,90.15,90.15,89.96,90.15,90.15,90.53,90.53,90.53,90.72,90.72,90.53
B-LC228335,93.76,93.76,92.82,93.19,93.38,93.38,93.38,97.16,96.78,97.16,97.35,97.35,97.16,97.16,97.35,97.35,96.79,96.79,96.79,96.59,96.79,96.78,96.41,96.41,96.60,96.98,97.73,97.54,97.92,97.92,98.30,98.30,97.54,97.92,97.92,97.92,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.49,98.11,97.92,97.92,97.92,97.92,98.11,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.20,98.49,98.86,98.68,99.62,99.43,,99.81,99.62,99.43,99.43,99.62,99.43,98.49,98.68,98.68,98.87,98.96,99.05,99.05,99.24,99.24,99.24,99.24,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.05,91.12,91.48,91.48,86.39,87.15,87.52,87.52,87.71,87.71,87.33,87.33,87.69,87.69,87.31,87.52,87.52,87.52,87.52,87.50,87.50,87.52,90.81,90.74,90.74,90.74,90.74,90.55,90.74,90.74,90.74,90.74,90.74,90.93,90.93,90.74
B-LC228324,93.57,93.57,92.63,93.01,93.19,93.19,93.19,96.97,96.59,96.97,97.16,97.16,96.98,96.98,97.16,97.16,96.60,96.60,96.60,96.40,96.60,96.59,96.22,96.22,96.41,96.79,97.54,97.35,97.73,97.73,98.11,98.11,97.35,97.73,97.73,97.73,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.30,97.92,97.73,97.73,97.73,97.73,97.92,97.92,97.92,97.92,97.92,98.11,98.11,98.11,98.01,98.30,98.67,98.49,99.43,99.24,99.81,,99.43,99.24,99.24,99.43,99.24,98.30,98.49,98.49,98.68,98.77,98.87,98.87,99.05,99.05,99.05,99.05,85.07,88.47,88.66,88.45,88.28,88.26,88.26,88.26,88.26,88.26,88.28,89.22,89.11,89.02,89.22,88.66,88.47,88.85,88.85,88.66,89.04,88.78,91.86,90.93,91.29,91.29,86.20,86.96,87.33,87.33,87.52,87.52,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,87.71,90.63,90.55,90.55,90.55,90.55,90.36,90.55,90.55,90.55,90.55,90.55,90.74,90.74,90.55
B-LC541991,93.95,93.95,93.01,93.38,93.57,93.57,93.57,97.16,96.78,97.16,97.35,97.35,97.16,97.16,97.35,97.35,96.79,96.79,96.79,96.59,96.79,96.78,96.41,96.41,96.60,96.98,97.73,97.54,97.92,97.92,98.30,98.30,97.54,97.92,97.92,97.92,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.49,98.11,97.92,97.92,97.92,97.92,98.11,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.20,98.49,98.86,98.68,99.62,99.43,99.62,99.43,,99.43,99.43,99.62,99.43,98.49,98.68,98.68,98.87,98.96,99.05,99.05,99.24,99.24,99.24,99.24,85.26,88.47,88.66,88.45,88.28,88.26,88.26,88.26,88.26,88.26,88.28,89.60,89.49,89.39,89.60,88.66,88.47,88.85,88.85,88.66,89.04,88.78,92.05,91.12,91.48,91.48,86.58,87.33,87.33,87.33,87.90,87.90,87.52,87.52,87.88,87.88,87.50,87.71,87.71,87.71,87.71,87.69,87.69,87.71,90.63,90.55,90.55,90.55,90.55,90.36,90.55,90.55,90.93,90.93,90.93,91.12,91.12,90.93
